,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
32,32,豪邦四季中央,"125.296991,43.935704",5154,"125.2982679579,43.93384358724",0,"-0.04067301432300496,0.007243381076001754"
33,33,宽城区龙泰檀香苑,"125.286055,43.933835",7933,"125.287356770834,43.931990831164",0,"-0.0515842013890051,0.005390625000003979"
34,34,"荣旺天下G区益万家超市
","125.354221,43.919306",3133,"125.355382758247,43.917575683594",2,"0.01644178602400359,-0.00902452256999453"
35,35,新星宇和顺小区,"125.331484,43.927027",1515,"125.332683648004,43.925228678386",1,"-0.006257324219006932,-0.0013715277779979829"
36,36,华大天朗四期,"125.344279,43.945365",2517,"125.345451388889,43.943442111546",2,"0.0065104166660034934,0.0168419053820017"
37,37,雨润溪树华庭小区,"125.349364,43.925138",1943,"125.350531412761,43.923363715278",2,"0.011590440538000735,-0.0032364908859960906"
38,38,恒大江湾,"125.360172,43.946627",5812,"125.361311577691,43.944689670139",2,"0.02237060546799796,0.018089463975002218"
39,39,华大天朗,"125.345208,43.948490",2799,"125.346374240452,43.946541883681",2,"0.007433268228993484,0.019941677517003598"
40,40,万龙北斗星城A区,"125.296381,43.942886",4502,"125.297657877605,43.94096842448",0,"-0.041283094617995175,0.014368218316000991"
41,41,城开泰和嘉园,"125.336586,43.914346",1860,"125.337775607639,43.912645941841",1,"-0.001165364583997075,-0.01395426432299729"
42,42,凯旋花园西1门,"125.318846,43.934182",2998,"125.320070529514,43.932330729167",1,"-0.018870442709001622,0.0057305230030024745"
43,43,长新街铁路小区,"125.335835,43.930323",454,"125.337026095921,43.928505316841",2,"-0.001914876301995605,0.001905110677000721"
44,44,雨润溪树华庭,"125.349553,43.926207",1817,"125.350722113716,43.924423285591",2,"0.011781141493003133,-0.0021769205729995633"
45,45,上台花园小区,"125.340040,43.938556",1809,"125.341228841146,43.936678059896",2,"0.002287868923005476,0.010077853732006758"
