,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
121,121,澎湖林苑,"125.306138,43.925500",3396,"125.307387152778,43.923723687066",2,"-0.01928005642399455,-0.001863335503998087"
122,122,万龙国际城三期,"125.320490,43.952957",4962,"125.321707899306,43.950962727865",2,"-0.004959309895994579,0.025375705294997886"
123,123,吴中印象二期,"125.330962,43.943927",2604,"125.33216498481,43.942007921007",1,"0.00549777560800635,0.01642089843699779"
124,124,长新街劳模会馆,"125.349006,43.930739",2528,"125.350171440973,43.928919542101",0,"0.023504231770999695,0.003332519530999889"
125,125,团山小区,"125.356426,43.943738",4795,"125.357571885851,43.941825086806",1,"0.030904676649001317,0.01623806423599916"
126,126,长新小区,"125.331104,43.929561",902,"125.332303059896,43.927756618924",0,"0.00563585069400574,0.0021695963540011576"
127,127,奥林花园,"125.301201,43.919681",4001,"125.302464735244,43.91794921875",2,"-0.024202473957998905,-0.007637803819996236"
128,128,蓝天花园,"125.293069,43.894737",6791,"125.294353569879,43.893182237414",2,"-0.03231363932300724,-0.03240478515599676"
129,129,吴中印象一期,"125.334992,43.943573",2877,"125.336185709636,43.941655815973",1,"0.009518500433998156,0.016068793403000825"
130,130,白金首府一期,"125.348706,43.928825",2692,"125.349870334202,43.927020128039",0,"0.023203124999994884,0.001433105468997553"
131,131,"凯旋路与北环城路交汇万龙第十城D区

","125.314218,43.953971",4305,"125.315441623264,43.951970757379",2,"-0.011225585938007043,0.026383734809002135"
132,132,小南街与朗秀路交汇华大天朗A区,"125.338482,43.942383",3536,"125.339665256077,43.940483127171",1,"0.012998046874997726,0.014896104601000104"
133,133,上台花园B区,"125.339351,43.938720",2676,"125.340536838108,43.936846788195",1,"0.013869628905993636,0.011259765624998863"
134,134,亚泰大街与宽府路交汇,"125.335133,43.941567",2533,"125.336325954862,43.939667154948",1,"0.009658745660004797,0.014080132377998211"
135,135,上台花园C区,"125.343106,43.938717",3279,"125.34427734375,43.936833767362",1,"0.01761013454799354,0.011246744792003938"
136,136,郡望安石小区,"125.331389,43.936283",2789,"125.332584906685,43.934423014323",1,"0.005917697482999529,0.008835991753002759"
137,137,"热电小区B区
","125.336741,43.920365",1580,"125.337937282987,43.918622775608",0,"0.011270073784999113,-0.006964246961999265"
138,138,北亚泰大街与兴和路交汇开关厂宿舍,"125.337159,43.927224",1380,"125.338339301216,43.925429416233",0,"0.011672092013995439,-0.00015760633699812843"
139,139,长新街与长平街交汇马塞公寓小区,"125.318899,43.931967",1853,"125.320120442709,43.930132107205",2,"-0.006546766493002565,0.00454508463499792"
140,140,扶余路万龙第八城C区2号门,"125.306002,43.937987",3257,"125.307258843316,43.936105957032",2,"-0.019408365885993817,0.010518934461998697"
141,141,吴中印象二期,"125.330962,43.943927",2604,"125.33216498481,43.942007921007",1,"0.00549777560800635,0.01642089843699779"
142,142,中冶蓝城二期,"125.315912,43.953877",4174,"125.317145996094,43.951873643664",2,"-0.009521213108001803,0.026286621094001816"
143,143,华大天朗,"125.345208,43.948490",4056,"125.346374240452,43.946541883681",1,"0.01970703124999318,0.020954861111000866"
144,144,华大城二期,"125.333421,43.959128",5141,"125.334614257813,43.957093098959",1,"0.00794704861100115,0.03150607638900027"
145,145,沈铁北部湾A区,"125.331662,43.955412",4952,"125.332858886719,43.953402235244",1,"0.006191677516994787,0.027815212673999667"
146,146,庆丰路与上台街交汇,"125.333344,43.937362",1917,"125.334540473091,43.935496148004",1,"0.007873263888996007,0.009909125433999577"
147,147,塞纳阳光A区,"125.309372,43.945431",3603,"125.310617947049,43.943497450087",2,"-0.01604926215300395,0.017910427517001892"
148,148,郡望安石西门,"125.329130,43.936120",2171,"125.330338812935,43.93425889757",1,"0.0036716037329966866,0.008671874999997442"
149,149,东天光路与利国街交汇,"125.344187,43.920638",2337,"125.345357259115,43.918896755643",0,"0.018690049913004714,-0.006690266927002142"
